Identifier	SAMPLE TYPE	EXPERIMENT	Q_SECONDARY_NAME	PARENT	Q_PRIMARY_TISSUE	Q_TISSUE_DETAILED	Q_ADDITIONAL_INFO	Q_NCBI_ORGANISM	Q_SAMPLE_TYPE	Q_EXTERNALDB_ID	Condition: origin
QCOFFENTITY-1	Q_BIOLOGICAL_ENTITY	QCOFFE1	Jamaica					13443			Jamaica
QCOFFENTITY-2	Q_BIOLOGICAL_ENTITY	QCOFFE1	Jamaica					13443			Jamaica
QCOFFENTITY-3	Q_BIOLOGICAL_ENTITY	QCOFFE1	Jamaica					13443			Jamaica
QCOFFENTITY-4	Q_BIOLOGICAL_ENTITY	QCOFFE1	Jamaica					13443			Jamaica
QCOFFENTITY-5	Q_BIOLOGICAL_ENTITY	QCOFFE1	Jamaica					13443			Jamaica
QCOFFENTITY-6	Q_BIOLOGICAL_ENTITY	QCOFFE1	Guatemala					13443			Guatemala
QCOFFENTITY-7	Q_BIOLOGICAL_ENTITY	QCOFFE1	Guatemala					13443			Guatemala
QCOFFENTITY-8	Q_BIOLOGICAL_ENTITY	QCOFFE1	Guatemala					13443			Guatemala
QCOFFENTITY-9	Q_BIOLOGICAL_ENTITY	QCOFFE1	Guatemala					13443			Guatemala
QCOFFENTITY-10	Q_BIOLOGICAL_ENTITY	QCOFFE1	Guatemala					13443			Guatemala
QCOFF001AV	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Jamaica	QCOFFENTITY-1	Flower						Jamaica
QCOFF002A5	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Jamaica	QCOFFENTITY-2	Flower						Jamaica
QCOFF003AD	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Jamaica	QCOFFENTITY-3	Flower						Jamaica
QCOFF004AL	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Jamaica	QCOFFENTITY-4	Flower						Jamaica
QCOFF005AT	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Jamaica	QCOFFENTITY-5	Flower						Jamaica
QCOFF006A3	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Guatemala	QCOFFENTITY-6	Flower						Guatemala
QCOFF007AB	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Guatemala	QCOFFENTITY-7	Flower						Guatemala
QCOFF008AJ	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Guatemala	QCOFFENTITY-8	Flower						Guatemala
QCOFF009AR	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Guatemala	QCOFFENTITY-9	Flower						Guatemala
QCOFF010AU	Q_BIOLOGICAL_SAMPLE	QCOFFE2	Guatemala	QCOFFENTITY-10	Flower						Guatemala
QCOFFENTITY-11	Q_BIOLOGICAL_ENTITY	QCOFFE3	Jamaica					13443			Jamaica
QCOFFENTITY-12	Q_BIOLOGICAL_ENTITY	QCOFFE3	Jamaica					13443			Jamaica
QCOFFENTITY-13	Q_BIOLOGICAL_ENTITY	QCOFFE3	Jamaica					13443			Jamaica
QCOFFENTITY-14	Q_BIOLOGICAL_ENTITY	QCOFFE3	Jamaica					13443			Jamaica
QCOFFENTITY-15	Q_BIOLOGICAL_ENTITY	QCOFFE3	Jamaica					13443			Jamaica
QCOFFENTITY-16	Q_BIOLOGICAL_ENTITY	QCOFFE3	Guatemala					13443			Guatemala
QCOFFENTITY-17	Q_BIOLOGICAL_ENTITY	QCOFFE3	Guatemala					13443			Guatemala
QCOFFENTITY-18	Q_BIOLOGICAL_ENTITY	QCOFFE3	Guatemala					13443			Guatemala
QCOFFENTITY-19	Q_BIOLOGICAL_ENTITY	QCOFFE3	Guatemala					13443			Guatemala
QCOFFENTITY-20	Q_BIOLOGICAL_ENTITY	QCOFFE3	Guatemala					13443			Guatemala
QCOFF011AV	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Jamaica	QCOFFENTITY-11	OTHER	Coffee Bean					Jamaica
QCOFF012A5	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Jamaica	QCOFFENTITY-12	OTHER	Coffee Bean					Jamaica
QCOFF013AD	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Jamaica	QCOFFENTITY-13	OTHER	Coffee Bean					Jamaica
QCOFF014AL	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Jamaica	QCOFFENTITY-14	OTHER	Coffee Bean					Jamaica
QCOFF015AT	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Jamaica	QCOFFENTITY-15	OTHER	Coffee Bean					Jamaica
QCOFF016A3	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Guatemala	QCOFFENTITY-16	OTHER	Coffee Bean					Guatemala
QCOFF017AB	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Guatemala	QCOFFENTITY-17	OTHER	Coffee Bean					Guatemala
QCOFF018AJ	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Guatemala	QCOFFENTITY-18	OTHER	Coffee Bean					Guatemala
QCOFF019AR	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Guatemala	QCOFFENTITY-19	OTHER	Coffee Bean					Guatemala
QCOFF020AU	Q_BIOLOGICAL_SAMPLE	QCOFFE4	Guatemala	QCOFFENTITY-20	OTHER	Coffee Bean					Guatemala
