Identifier	Fold Change	sam	raw score	FDR	ttest	raw score	FDR
SNORA40 /// TAF1D	-1.74649607	0.01	1.381882744	0.018453608	0.070845764	-1.977560096	0.093373028
LCE1A /// LCE1E /// LCE1F	-1.674478006	0.01	1.634924317	0.018453608	0.0155946	-2.754116539	0.046523891
AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	-1.509629065	0.01	1.349105639	0.018453608	0.057623298	-2.093298082	0.082516563
LCE1C	-1.342423956	0.01	1.439064196	0.018453608	0.019353193	-2.645150997	0.048477567
C4orf32	-1.336293351	0	1.30302543	0	0.05614494	-2.138116843	0.081397844
SPANXA1 /// SPANXA2 /// SPANXC /// SPANXD /// SPANXE	-1.309894421	0.02	1.208893405	0.030598291	0.086217368	-1.89182006	0.10357657
BET1	-1.273575119	0.01	1.216239356	0.018453608	0.074746987	-1.966152578	0.096256911
SNORA41	-1.266963503	0.01	1.299163903	0.018453608	0.046292217	-2.238711289	0.075056849
PLOD2	-1.247029068	0	1.440268264	0	0.014109054	-2.84813659	0.045064681
KRT33B	-1.187963992	0.01	1.359742252	0.018453608	0.012049223	-2.778193944	0.045064681
CHMP4C	-1.183187846	0	1.31277818	0	0.021160122	-2.548181263	0.050757589
OLFM4	-1.103533976	0.02	1.221279539	0.030598291	0.036957408	-2.315405076	0.067520887
ROBO1	-1.101735601	0	1.443966677	0	0.003516259	-3.465326395	0.040046198
FOSL1	-1.07929221	0.01	1.317062287	0.018453608	0.009605615	-2.899761397	0.044139188
SSTR2	-1.076022857	0.02	1.106833903	0.030598291	0.084192334	-1.903351494	0.10268143
PAPL	-1.05454302	0.02	1.135398501	0.030598291	0.052864043	-2.107249087	0.081010757
C1GALT1C1	-1.029194034	0.01	1.15213033	0.018453608	0.053527329	-2.165094392	0.081195773
LMOD2	-1.011804585	0.02	1.050119237	0.030598291	0.098139194	-1.816298001	0.11333494
SMARCE1	-1.009539097	0	1.159379176	0	0.043605486	-2.261313643	0.075056849
TSEN34	1.001740776	0.01	-1.105214528	0.018453608	0.045369937	2.151706217	0.075056849
NOTCH2 /// NOTCH2NL	1.001830497	0.02	-1.082178573	0.030598291	0.051336666	2.078450991	0.080747487
STX10	1.003424545	0.01	-1.22123746	0.018453608	0.018414252	2.635804167	0.047770307
ITM2B	1.006899021	0	-1.127498753	0	0.044873776	2.189052689	0.075056849
B2M	1.008182308	0.01	-1.102970024	0.018453608	0.051425774	2.103916726	0.080747487
SIRT7	1.009157972	0.02	-1.134857412	0.030598291	0.038994808	2.24002789	0.069800706
POMZP3 /// ZP3	1.010175504	0	-1.325397341	0	0.002364241	3.503989232	0.038616605
LPAR2	1.011814825	0	-1.271746804	0	0.013727888	2.832910634	0.045064681
ARHGDIB	1.014723706	0	-1.251842982	0	0.017788556	2.708373079	0.047524649
TNFSF10	1.018231399	0	-1.211442022	0	0.019499357	2.572294376	0.048477567
MFSD7	1.019411132	0.03	-1.066184441	0.043658537	0.054494907	2.03231344	0.081288236
ANKRD22	1.020914406	0	-1.256397893	0	0.007415789	2.955199757	0.04061717
GRB2	1.024335524	0	-1.278236842	0	0.011269736	2.866054879	0.045064681
NUFIP2	1.028958182	0.01	-1.150396622	0.018453608	0.031735162	2.308632281	0.062324428
C14orf119	1.038441916	0	-1.286121971	0	0.012382661	2.838385948	0.045064681
TAF10	1.045952657	0	-1.252047214	0	0.017636255	2.649893365	0.047524649
PARP12	1.04983035	0.03	-1.16884447	0.043658537	0.028248374	2.355706397	0.057494968
FBXL5	1.05276042	0.02	-1.100395971	0.030598291	0.066983709	1.980705972	0.092231414
IL1B	1.054442448	0.02	-1.196767276	0.030598291	0.032084793	2.361450052	0.062324428
KLF2	1.05535979	0	-1.258721812	0	0.016091258	2.672548529	0.04721861
NFAT5	1.055985105	0.02	-1.104699123	0.030598291	0.065031036	1.993850958	0.090236864
MAP3K4	1.057314608	0.02	-1.064475025	0.030598291	0.07198591	1.905765275	0.093373028
ICAM1	1.057685909	0.01	-1.24911972	0.018453608	0.014417273	2.677415917	0.045064681
ABCF1	1.05960958	0.01	-1.327873376	0.018453608	0.004254303	3.190368811	0.040046198
STK10	1.06485993	0	-1.14836739	0	0.040606099	2.197940958	0.071965264
H3F3B	1.066681769	0	-1.253714794	0	0.014144138	2.680825236	0.045064681
UBE2D2	1.067936168	0.01	-1.173471848	0.018453608	0.032729029	2.299357496	0.062324428
PSENEN	1.070422168	0	-1.474648866	0	0.001938914	3.827298586	0.038616605
C11orf58	1.077063545	0.01	-1.354820341	0.018453608	0.00597461	3.116006331	0.040046198
PNP	1.084043147	0	-1.22188478	0	0.024667766	2.446120996	0.055194127
PLEKHO1	1.085063657	0.01	-1.241766336	0.018453608	0.019355048	2.548886481	0.048477567
FABP3	1.091326448	0	-1.331336381	0	0.006097439	3.035944029	0.040046198
JMJD6	1.093605718	0.02	-1.154726534	0.030598291	0.041649693	2.177846462	0.073091128
IRF7	1.09412014	0.01	-1.178347753	0.018453608	0.032473124	2.289989915	0.062324428
AP3D1	1.095869993	0.03	-1.232133576	0.043658537	0.023196313	2.469108968	0.053232564
MFSD5	1.097665455	0.02	-1.160858153	0.030598291	0.033356851	2.270780986	0.06285133
HIST2H2AA3 /// HIST2H2AA4	1.100230839	0.01	-1.29579133	0.018453608	0.014440653	2.715964025	0.045064681
DYNC1I2 /// HNRNPM	1.100481888	0	-1.361893755	0	0.007402879	3.039874859	0.04061717
APOBEC3B	1.105766787	0.01	-1.156004512	0.018453608	0.033816508	2.276547429	0.063053698
RELB	1.109038895	0.01	-1.26244057	0.018453608	0.017296337	2.591653406	0.047524649
MEPCE	1.113474895	0	-1.378422754	0	0.004121572	3.204402882	0.040046198
HLA-DRB1	1.11533993	0	-1.379672594	0	0.005993352	3.105830387	0.040046198
CHFR	1.116337483	0	-1.394657187	0	0.00626421	3.139037897	0.040046198
GAK	1.116357343	0.01	-1.22746461	0.018453608	0.028265683	2.384474393	0.057494968
FAM49B	1.117710839	0.02	-1.210351101	0.030598291	0.037343954	2.275832406	0.067520887
ARPC3	1.119052657	0	-1.248579852	0	0.0315719	2.393462542	0.062324428
S100A11	1.123393357	0.01	-1.259751921	0.018453608	0.029493123	2.428864759	0.05931763
UBC	1.130963077	0	-1.280776443	0	0.021267146	2.544917436	0.050757589
MORF4L2	1.137405804	0	-1.325640633	0	0.013655948	2.74256608	0.045064681
CD97	1.137699895	0.03	-1.151852278	0.043658537	0.052662065	2.069163538	0.081010757
NFKBIE	1.142039371	0	-1.415135679	0	0.004026539	3.240643048	0.040046198
IER2	1.155276573	0.01	-1.294292617	0.018453608	0.02713834	2.483488443	0.057494968
FAM21A /// FAM21B /// FAM21C /// FAM21D	1.156118462	0.02	-1.159443507	0.030598291	0.046543633	2.112610267	0.075056849
H3F3B /// H3F3C	1.157180699	0.01	-1.356777818	0.018453608	0.014853722	2.768649228	0.045064681
SPPL2A	1.163602371	0.01	-1.343569469	0.018453608	0.009616918	2.841244024	0.044139188
